x	sin(x)	cos(x)	sin(2x)	cos(2x)
0.0	0.0	1.0	0.0	1.0
0.06314759102693052	0.06310563131267365	0.9980068533314934	0.12595970506771756	0.9920353585932578
0.12629518205386103	0.12595970506771756	0.9920353585932578	0.24991296237030836	0.9682683053985072
0.18944277308079155	0.18831166648971787	0.9821093199149804	0.3698852854165468	0.9290774325277306
0.25259036410772207	0.24991296237030836	0.9682683053985072	0.48396560114283876	0.8750870224785937
0.3157379551346526	0.3105180318741688	0.9505674893877829	0.5903366919365284	0.8071571037619854
0.3788855461615831	0.3698852854165468	0.9290774325277306	0.6873041426091843	0.7263697512646394
0.4420331371885136	0.4277780677102096	0.9038838004888236	0.773323331215339	0.6340118495722387
0.5051807282154441	0.48396560114283876	0.8750870224785937	0.8470240337722988	0.5315545938209014
0.5683283192423747	0.5382239057242886	0.8428018909013506	0.9072322509454814	0.42063005461378417
0.6314759102693052	0.5903366919365284	0.8071571037619854	0.9529889090158392	0.30300518030687273
0.6946235012962356	0.6400962229271071	0.7682947516379708	0.9835651372363698	0.18055365078890231
0.7577710923231662	0.6873041426091843	0.7263697512646394	0.9984738782203788	0.05522603110450817
0.8209186833500968	0.7317722663670768	0.6815492279916338	0.9974776464163387	-0.070981299648016
0.8840662743770272	0.773323331215339	0.6340118495722387	0.9805923110824041	-0.196057949203978
0.9472138654039577	0.8117917024210207	0.5839471139413063	0.9480868435005095	-0.3180115362392381
1.0103614564308883	0.8470240337722988	0.5315545938209014	0.9004790324567516	-0.434899427575793
1.0735090474578188	0.8788798788614604	0.47704314116488955	0.8385272362373773	-0.5448596829350705
1.1366566384847494	0.9072322509454814	0.42063005461378417	0.7632183025251684	-0.6461407143112099
1.1998042295116798	0.9319681291524348	0.3625402132786245	0.6757518486236088	-0.7371291875117789
1.2629518205386103	0.9529889090158392	0.30300518030687273	0.5775211524135886	-0.8163757214143991
1.326099411565541	0.9702107955409863	0.24226227980378318	0.47009095843600296	-0.8826179755685469
1.3892470025924712	0.9835651372363698	0.18055365078890231	0.3551725526334286	-0.9348007583735982
1.4523945936194018	0.9929986997786696	0.11812528195890805	0.23459650279236888	-0.972092835524257
1.5155421846463324	0.9984738782203788	0.05522603110450817	0.11028349891127508	-0.9939001709768878
1.578689775673263	0.9999688468941563	-0.00789336690971331	-0.015786242013637018	-0.9998753895176573
1.6418373667001935	0.9974776464163387	-0.070981299648016	-0.14160451942495178	-0.9899233102005571
1.7049849577271239	0.9910102074427921	-0.13378628010447904	-0.2651671383986785	-0.9642024625116118
1.7681325487540545	0.9805923110824041	-0.196057949203978	-0.38450583503201075	-0.9231225611078607
1.831280139780985	0.9662654861260218	-0.2575480738068967	-0.49771962947568316	-0.8673379793567146
1.8944277308079154	0.9480868435005095	-0.3180115362392381	-0.6030051071796143	-0.7977373256375195
1.957575321834846	0.9261288486078413	-0.37720731140357594	-0.6986851459933063	-0.7154292884473714
2.0207229128617765	0.9004790324567516	-0.434899427575793	-0.7832356315188903	-0.6217249757884953
2.083870503888707	0.8712396427384597	-0.4908579070575935	-0.8553097351604116	-0.5181170301580778
